"district","grspan","enrltot","teachers","computer","testscr","compstu","expnstu","str","logavginc","elpct","readscr","mathscr"
"Anaheim Elementary","KK-06",20927,953.5,1048,633.1500244,0.050078847,4969.180664,21.94756126,1.127125062,58.21665573,629.5999756,636.7000122
"Lemoore Union Elementary","KK-08",3017,138.5,496,633.6500244,0.164401725,4675.674805,21.78339386,1.044578968,17.00364685,634.4000244,632.9000244
"Armona Union Elementary","KK-08",957,50,149,633.9000244,0.155694887,5306.132813,19.13999939,0.958181487,17.65935326,634.7000122,633.0999756
"Beardsley Elementary","KK-08",1639,90.5,287,634,0.175106779,5693.883301,18.11049652,1.126780588,7.321537495,638.4000244,629.5999756
"South Whittier Elementary","KK-08",4340,209.8399963,284,634.0500488,0.065437786,5181.57959,20.68242455,1.164401204,31.19815636,631.9000244,636.2000122
"Hanford Elementary","KK-08",5079,224.5,585,634.0999756,0.115180157,5228.650879,22.62360764,1.045948545,16.61744499,637.7000122,630.5
"National Elementary","KK-06",6639,304.730011,505,634.0999756,0.076065674,5339.391113,21.78649902,0.925466818,58.08103561,631.5,636.7000122
"Roseland Elementary","KK-06",1154,62.09999847,129,634.1500244,0.111785099,6056.49707,18.58293152,1.066884742,55.89254379,636.7999878,631.5
"Di Giorgio Elementary","KK-08",237,11,13,634.1999512,0.054852322,4845.680176,21.54545403,0.86362021,5.485232353,631.7999878,636.5999756
"Keppel Union Elementary","KK-08",2987,141.2100067,273,634.4000244,0.091396049,4826.666016,21.15289116,1.137689497,14.4291935,637.7000122,631.0999756
"Lakeside Union Elementary","KK-08",499,30,94,634.5499878,0.188376755,5367.090332,16.63333321,1.045948545,22.84569168,635.5,633.5999756
"Merced City Elementary","KK-08",11474,542.6500244,1248,634.7000122,0.108767651,5742.73291,21.14438248,1.015545361,38.78333664,633.2000122,636.2000122
"Guadalupe Union Elementary","KK-08",1088,55,107,634.9000244,0.098345585,4136.250977,19.78181839,0.84404203,64.24632263,631.0999756,638.7000122
"Cucamonga Elementary","KK-08",2660,140.1199951,259,634.9499512,0.097368419,5267.831055,18.98372841,1.160402501,25.22556496,637.7999878,632.0999756
"Knightsen Elementary","KK-08",353,19.97999954,8,635.0499878,0.022662889,5238.39209,17.66766739,1.165926546,5.382436275,636.5999756,633.5
"Rio Dell Elementary","KK-08",329,18.53000069,37,635.1999512,0.112462007,5462.899414,17.75499153,1.026492395,6.079027653,644.2999878,626.0999756
"Montague Elementary","KK-08",252,16.5,32,635.4500122,0.126984134,6313.373535,15.27272701,0.990383265,0,640.9000244,630
"McCloud Union Elementary","KK-08",175,12.5,31,635.5999756,0.177142859,6653.030762,14,1.027594217,0,634.5999756,636.5999756
"Santa Paula Elementary","KK-08",3835,186.1999969,897,635.5999756,0.233898312,5533.149414,20.59613419,1.076931565,34.88917923,633,638.2000122
"West Park Elementary","KK-08",314,19.25,8,635.75,0.025477707,6118.710449,16.31168747,0.868350513,13.05732441,636.7000122,634.7999878
"Atwater Elementary","KK-08",4458,211,445,635.9500122,0.099820547,5098.626953,21.12796211,1.028408551,36.0251236,633.2000122,638.7000122
"Weaver Union Elementary","KK-08",1313,75.08000183,112,636.0999756,0.08530084,5652.878906,17.48801231,0.998782275,34.65346527,633.9000244,638.2999878
"Pacific Union Elementary","KK-08",474,26.5,36,636.5,0.075949363,5329.002441,17.88679314,0.916874898,28.69198227,634.7000122,638.2999878
"Lucerne Valley Unified","KK-08",1114,57.70000076,277,636.5999756,0.248653501,5929.809082,19.30675888,0.94919477,1.795332193,645.4000244,627.7999878
"Romoland Elementary","KK-06",1358,65,178,636.6999512,0.131075114,4897.067871,20.89230728,1.081419334,30.63328552,632.2999878,641.0999756
"El Monte City Elementary","KK-08",11629,546.2999878,1015,636.9000244,0.087281793,5100.202148,21.28683853,0.974460799,59.0334549,632.4000244,641.4000244
"Greenfield Union Elementary","KK-08",6195,306.75,1261,636.9500122,0.203551248,4825.722656,20.1955986,0.950381063,13.55932236,636.2000122,637.7000122
"Palo Verde Union Elementary","KK-08",499,20,35,637,0.07014028,4079.12915,24.95000076,1.004235348,5.010019779,636.0999756,637.9000244
"Elverta Joint Elementary","KK-08",417,23,27,637.0999756,0.064748198,5349.367676,18.13043404,1.072984742,0.959232628,638,636.2000122
"Lucerne Elementary","KK-08",300,15,55,637.3499756,0.183333337,5869.38916,20,1.06269479,0.666666687,640.9000244,633.7999878
"Luther Burbank Elementary","KK-08",457,24.39999962,50,637.6500244,0.109409191,6462.12793,18.72950935,1.294620533,38.51203537,644.9000244,630.4000244
"Bangor Union Elementary","KK-08",146,8,34,637.9499512,0.232876718,6231.601563,18.25,0.851564083,0,646.0999756,629.7999878
"Bayshore Elementary","KK-08",460,24.21999931,71,637.9500122,0.154347822,4993.867676,18.99256897,1.137512365,17.17391396,633.2000122,642.7000122
"Oak Valley Union Elementary","KK-08",354,17.79999924,28,638,0.079096042,4663.811035,19.88764191,1.004235348,9.887005806,636.7000122,639.2999878
"Wilsona Elementary","KK-08",1841,95,315,638.2000122,0.171102658,6107.106445,19.37894821,1.138681556,19.39163589,640.4000244,636
"Brawley Elementary","KK-08",3760,183.75,717,638.3000488,0.190691486,5324.228027,20.46258545,0.985201857,36.48936081,636.2000122,640.4000244
"Meadows Union Elementary","KK-08",500,22.43000031,70,638.3000488,0.140000001,5221.460938,22.29157257,1.011316641,39.39999771,630.4000244,646.2000122
"Little Lake City Elementary","KK-08",5112,246.8999939,383,638.3499756,0.07492175,5157.784668,20.70473862,1.063303348,28.67762184,638.5999756,638.0999756
"Pond Union Elementary","KK-08",146,7.659999847,28,638.5499878,0.19178082,5131.119141,19.06005287,0.869525075,13.69863033,637.5,639.5999756
"Taft City Elementary","KK-08",2141,105.8199997,134,638.7000122,0.062587574,5279.354004,20.23246956,1.081959054,11.34983635,636.9000244,640.5
"Brittan Elementary","KK-08",610,30.97999954,144,639.25,0.236065567,4704.043945,19.6901226,1.052424588,3.442623138,640.2999878,638.2000122
"Arena Union Elementary","KK-08",337,16.54999924,26,639.3000488,0.077151336,6089.910645,20.36253929,1.00151737,15.43026733,642.7000122,635.9000244
"Adelanto Elementary","KK-08",4501,227.8500061,597,639.3499756,0.132637188,5356.833496,19.75422287,0.923451261,17.97378349,639.9000244,638.7999878
"Hollister School District","KK-08",5718,295.0499878,313,639.5,0.054739419,5144.549316,19.37976646,1.134495859,22.71773338,641.4000244,637.5999756
"Palmdale Elementary","KK-08",19402,846.3800049,1182,639.75,0.060921554,4906.22998,22.9235096,1.150070463,18.43624496,641.7000122,637.7999878
"Oroville City Elementary","KK-08",3401,175.5500031,560,639.7999878,0.164657459,5489.588867,19.37339783,1.051774555,16.17171478,641.5,638.0999756
"Standard Elementary","KK-08",2621,136.8300018,397,639.8499756,0.151468903,5718.55127,19.15515518,1.126780588,2.02212882,641.4000244,638.2999878
"Briggs Elementary","KK-08",426,20,87,639.9000244,0.204225346,4436.152832,21.29999924,1.076931565,9.62441349,634.2999878,645.5
"Monroe Elementary","KK-08",205,11.19999981,24,640.0999756,0.117073171,4895.439453,18.3035717,0.916874898,41.46341324,643.5,636.7000122
"Lancaster Elementary","KK-08",13668,648.4099731,1321,640.1500244,0.09664911,5159.21875,21.07925606,1.153105013,9.8990345,640.4000244,639.9000244
"Alview-Dairyland Union Elementary","KK-08",342,18.20000076,98,640.5,0.286549717,5490.654785,18.79120827,1.020029639,16.08187103,637.7000122,643.2999878
"Magnolia Elementary","KK-06",6518,332.1000061,499,640.75,0.076557226,5172.019531,19.62661743,1.153598451,43.4949379,638.5,643
"Liberty Elementary","KK-08",239,12.19999981,30,640.9000244,0.125523016,4441.672852,19.59016418,1.148170613,8.786610603,644.9000244,636.9000244
"Mt. Pleasant Elementary","KK-08",2911,139.4700012,281,641.0999756,0.0965304,5220.370117,20.87187195,1.203250535,39.02438736,640.4000244,641.7999878
"El Centro Elementary","KK-08",6272,297.0400085,1338,641.4499512,0.213329077,5252.810547,21.11500168,1.011316641,53.89030457,639.2999878,643.5999756
"South Bay Union Elementary","KK-06",10218,508.75,1435,641.4499512,0.140438437,5518.702148,20.08452034,1.025407069,41.13329315,638.5999756,644.2999878
"Cascade Union Elementary","KK-08",1735,87.13999939,222,641.5499878,0.127953887,5609.487793,19.91048813,1.022139561,1.383285284,640.7999878,642.2999878
"Kings River Union Elementary","KK-08",474,26.61000061,96,641.8000488,0.202531651,4945.031738,17.81285095,1.050689025,35.44303894,638.9000244,644.7000122
"Gerber Union Elementary","KK-08",544,30,145,642.1999512,0.266544104,5223.025391,18.13333321,1.002425254,8.639705658,641.7999878,642.5999756
"Exeter Union Elementary","KK-08",1987,103.3700027,283,642.2000122,0.142425761,4757.025391,19.22221184,1.04855831,15.34977436,637,647.4000244
"American Union Elementary","KK-08",418,22.39999962,50,642.4000244,0.119617224,5522.161621,18.6607151,0.868350513,19.85645866,640.2000122,644.5999756
"San Antonio Union Elementary","KK-08",196,10,40,642.75,0.20408164,6087.608887,19.60000038,1.132867803,3.061224461,652.5999756,632.9000244
"Burton Elementary","KK-08",2208,114.5,92,643.0499878,0.041666668,4960.515625,19.28384209,0.983626292,9.873188019,642,644.0999756
"Nuview Union Elementary","KK-08",1255,55,165,643.1999512,0.131474108,4880.040527,22.81818199,1.183952791,16.09561729,642.5999756,643.7999878
"Bellevue Union Elementary","KK-06",1469,78.09999847,65,643.25,0.044247787,6538.417969,18.80921936,1.147189217,43.49897766,639.4000244,647.0999756
"Garvey Elementary","KK-08",7114,332.8399963,680,643.4000244,0.095586166,4925.659668,21.37363243,1.010285831,45.03795242,638.9000244,647.9000244
"Corning Union Elementary","KK-08",1962,98,170,643.4000244,0.086646281,5204.6875,20.02040863,0.97703732,18.19571877,641.7000122,645.0999756
"Jefferson Elementary","KK-08",7761,361,658,643.5,0.084782891,4907.410645,21.49861526,1.176955363,15.48769474,644.2000122,642.7999878
"Big Springs Union Elementary","KK-08",216,14,47,643.5,0.217592597,5923.45166,15.4285717,0.990383265,0.92592591,652.7000122,634.2999878
"General Shafter Elementary","KK-08",224,10,31,643.6999512,0.138392851,4741.957031,22.39999962,1.120310655,7.589285851,633.5999756,653.7999878
"Turlock Joint Elementary","KK-08",7887,391.8599854,1004,643.7000122,0.127298087,4954.019531,20.12708664,1.08692901,29.08583832,645.7000122,641.7000122
"Twain Harte-Long Barn Union Elementary","KK-08",752,39.5,0,644.1999512,0,5500.10791,19.03797531,1.148479265,0.132978722,652.2999878,636.0999756
"Redwood City Elementary","KK-08",9328,537.8800049,1719,644.2000122,0.184283882,5360.51709,17.34215736,1.406324398,50.85763168,644.5,643.9000244
"Camino Union Elementary","KK-08",548,32.20000076,35,644.4000244,0.063868612,5685.63916,17.01863289,1.172223331,11.49635029,652.0999756,636.7000122
"Plainsburg Union Elementary","KK-08",104,5,19,644.4500122,0.182692304,5594.196289,20.79999924,0.998782275,13.46153927,649.5,639.4000244
"Banta Elementary","KK-08",275,13,4,644.4500122,0.014545455,4692.566895,21.15384674,1.163697948,4.727272511,643.2000122,645.7000122
"Washington Colony Elementary","KK-08",443,24,52,644.5,0.117381491,5085.40625,18.45833397,0.868350513,21.44469452,644.2999878,644.7000122
"Rio Linda Union Elementary","KK-06",10337,540.0499878,1268,644.5499878,0.12266615,5456.197266,19.14082146,1.091420743,12.35368061,646,643.0999756
"Chatom Union Elementary","KK-08",806,41.52999878,36,644.6999512,0.044665013,5105.179688,19.40765762,1.094517686,30.14888382,645.2999878,644.0999756
"Merced River Union Elementary","KK-08",227,11.60000038,25,644.9500122,0.110132158,5519.677246,19.568964,1.173361121,15.85902977,649.7000122,640.2000122
"Hueneme Elementary","KK-08",8416,391.4200134,1333,645.0999756,0.158388779,5065.911133,21.50119972,1.102773185,43.75,642.9000244,647.2999878
"Cuddeback Union Elementary","KK-08",149,8.5,30,645.25,0.201342285,5182.428223,17.52941132,1.014226437,0,656.7999878,633.7000122
"Blue Lake Union Elementary","KK-08",220,13.39000034,48,645.5499878,0.218181819,5960.464355,16.43017197,1.078166713,0,658,633.0999756
"Lemon Grove Elementary","KK-08",4612,232.9700012,601,645.5500488,0.130312234,5124.836426,19.79653931,1.108125083,16.65221214,647.7000122,643.4000244
"Upper Lake Union Elementary","KK-08",590,34.33000183,71,645.5999756,0.120338984,5655.133301,17.18613434,1.001733711,3.22033906,644.7999878,646.4000244
"Peninsula Union Elementary","KK-08",133,7.550000191,25,645.75,0.187969923,5811.689941,17.61589432,1.124993021,0,644.2999878,647.2000122
"Ocean View Elementary","KK-08",2440,121.2399979,116,645.75,0.047540985,5467.673828,20.12537193,0.993612562,48.52458954,645.5,646
"Reeds Creek Elementary","KK-08",133,6,0,646,0,5213.089355,22.16666603,1.057894206,0.751879692,652.5,639.5
"Arcohe Union Elementary","KK-08",519,26,65,646.2000122,0.125240847,4613.1875,19.96153831,1.179867619,1.92678237,650.9000244,641.5
"New Jerusalem Elementary","KK-08",222,11.65999985,30,646.3499756,0.135135129,4886.983887,19.0394516,1.163697948,13.51351261,643,649.7000122
"Dunsmuir Elementary","KK-08",285,18.71999931,36,646.4000244,0.126315787,6455.136719,15.22435951,1.011485845,0,641.5999756,651.2000122
"Stanislaus Union Elementary","KK-08",3129,147.9799957,471,646.5,0.150527328,5125.433105,21.1447506,1.192925706,16.71460533,647.7999878,645.2000122
"Kingsburg Joint Union Elementary","KK-08",2019,102.7799988,167,646.5499878,0.082714215,5193.692383,19.64389992,1.050689025,5.943536282,649.0999756,644
"Buena Park Elementary","KK-08",5620,267,316,646.7000122,0.056227759,5002.838867,21.04868889,1.177576187,36.17437744,644,649.4000244
"Westminster Elementary","KK-08",9775,484.5,1218,646.9000244,0.124603577,5337.625488,20.17543793,1.187892153,44.97186661,645.5999756,648.2000122
"Island Union Elementary","KK-08",246,11.5,38,646.9499512,0.154471546,5161.202148,21.39130402,1.044578968,16.66666794,647.7999878,646.0999756
"Tulare City Elementary","KK-08",7210,360.3500061,800,647.0499878,0.110957004,5158.791992,20.00832558,1.004235348,15.18723965,642.5,651.5999756
"Chula Vista Elementary","KK-06",21338,1051.579956,2889,647.25,0.135392264,5123.474121,20.2913723,1.155284399,34.33779907,645,649.5
"Black Butte Union Elementary","KK-08",477,27,27,647.2999878,0.056603774,5782.543945,17.66666603,1.071992424,0,650.7999878,643.7999878
"McSwain Union Elementary","KK-08",727,39.90000153,50,647.5999756,0.068775788,4842.60791,18.22055054,0.998782275,13.06739998,649.4000244,645.7999878
"Franklin Elementary","KK-08",374,18.45000076,46,647.5999756,0.122994654,4219.40625,20.27100182,1.187774466,4.278074741,651.5999756,643.5999756
"Escondido Union Elementary","KK-08",18255,903.7600098,2001,648,0.109613806,5081.169922,20.198946,1.18451539,39.5946312,645,651
"East Whittier City Elementary","KK-08",8787,410.9100037,1058,648.2000122,0.120405145,5144.993652,21.38424492,1.191253342,21.66837311,648,648.4000244
"Rio Bravo-Greeley Union Elementary","KK-08",797,38,60,648.25,0.075282305,4674.298828,20.97368431,1.212001038,3.262233257,648.7999878,647.7000122
"Marcum-Illinois Union Elementary","KK-08",140,7,40,648.3499756,0.285714298,4830.326172,20,1.109747238,7.857142925,651.5999756,645.0999756
"Vallecitos Elementary","KK-08",235,13.69999981,51,648.7000122,0.217021272,5621.687988,17.15328407,1.220709384,39.57446671,643.4000244,654
"Victor Elementary","KK-06",8294,371.1000061,1295,648.9499512,0.15613696,4948.868164,22.3497715,1.098639673,10.12780285,645.0999756,652.7999878
"Savanna Elementary","KK-06",2409,108.6600037,354,649.1500244,0.146948949,5100.975586,22.17007065,1.154076022,27.52179146,646,652.2999878
"West Side Union Elementary","KK-06",150,8.25,16,649.3000488,0.106666669,5132.788574,18.18181801,1.263067687,14,655.2000122,643.4000244
"Enterprise Elementary","KK-08",3981,210,606,649.5,0.152223065,5358.51709,18.95714378,1.10548098,8.842000008,649.7999878,649.2000122
"Red Bluff Union Elementary","KK-08",2326,117.8000031,345,649.6999512,0.148323298,5149.186523,19.74533081,1.057894206,6.405846596,651.2999878,648.0999756
"Jamestown Elementary","KK-08",501,30.5,163,649.8499756,0.325349301,5373.206543,16.42622948,0.9459607,2.395209789,652.5999756,647.0999756
"Weed Union Elementary","KK-08",470,28.27000046,48,650.4499512,0.102127656,6485.166016,16.62539673,1.048286379,5.957447052,655.0999756,645.7999878
"South Bay Union Elementary","KK-06",575,35.09999847,59,650.5499878,0.102608696,5504.025391,16.38176727,1.153143847,8.173913002,654.5999756,646.5
"Brentwood Union Elementary","KK-08",3519,175.3000031,789,650.5999756,0.224211425,5105.734375,20.07415771,1.176872299,15.45893669,655.4000244,645.7999878
"Summerville Elementary","KK-08",474,26.34000015,61,650.6500244,0.128691986,5634.730957,17.99544334,1.022057017,0,653.5999756,647.7000122
"Ophir Elementary","KK-08",223,11.5,60,650.9000244,0.269058287,4980.294434,19.39130402,1.270119586,0,651.7999878,650
"Montgomery Elementary","KK-08",92,5.599999905,22,650.9000244,0.239130437,6113.859863,16.4285717,1.352741902,0,656.0999756,645.7000122
"Santa Rosa Elementary","KK-06",4971,297.1400146,500,651.1500244,0.100583382,5850,16.72948647,1.262412866,31.82458305,653.2999878,649
"Salida Union Elementary","KK-08",2617,107.1949997,226,651.2000122,0.086358428,4547.944824,24.41345215,1.075026585,12.80091667,651.7000122,650.7000122
"Shasta Union Elementary","KK-08",242,13.25,32,651.3499756,0.132231399,5011.840332,18.26415062,0.996774255,0,654.4000244,648.2999878
"Fortuna Union Elementary","KK-08",780,41.15000153,75,651.4000244,0.096153848,5261.370605,18.95504189,1.152196569,3.846153975,662,640.7999878
"Rockford  Elementary","KK-08",324,15.39999962,50,651.4500122,0.154320985,4276.115234,21.03896141,0.983626292,2.469135761,647,655.9000244
"Plaza Elementary","KK-08",140,6.75,25,651.8000488,0.178571433,4566.27002,20.74073982,1.026900806,10.71428585,654.2000122,649.4000244
"Monte Rio Union Elementary","KK-08",181,10,26,651.8499756,0.143646404,6049.495117,18.10000038,1.160618584,0,651.9000244,651.7999878
"Janesville Union Elementary","KK-08",516,26,65,651.9000244,0.125968993,4974.28125,19.84615326,1.12927086,1.937984467,656.2999878,647.5
"Magnolia Union Elementary","KK-08",108,5,25,652,0.231481478,4432.478027,21.60000038,0.985201857,4.629629612,648.2000122,655.7999878
"Shaffer Union Elementary","KK-08",419,18.67000008,58,652.0999756,0.138424814,4924.619141,22.44242096,1.104077212,5.250596523,656.4000244,647.7999878
"Fullerton Elementary","KK-08",12567,546.0499878,1099,652.0999756,0.087451264,4603.659668,23.01437569,1.250980806,27.54038239,651.5999756,652.5999756
"Cinnabar Elementary","KK-06",287,16.17000008,65,652.2999878,0.226480842,5973.925293,17.74891853,1.234416041,14.98257828,655.0999756,649.5
"Santa Barbara Elementary","KK-08",6201,339.1000061,634,652.3000488,0.102241576,5215.943848,18.28664017,1.292026363,47.87937546,650.9000244,653.7000122
